,dest,intermediate_location,payload,src,transhipment_path,veh_type,verb
518,CJBH,,,HYDH,"['HYDH', 'BLRH', 'CJBH']",,MAK
519,CCUH,,,HYDH,"['HYDH', 'CCUH']",,MAK
521,COKB,,,HYDH,"['HYDH', 'BLRH', 'COKB']",,MAK
523,SXVF,,,HYDH,"['HYDH', 'BLRH', 'SXVF']",,MAK
525,JAIH,,,HYDH,"['HYDH', 'JAIH']",,MAK
526,IXRB,,,HYDH,"['HYDH', 'VZAH', 'IXRB']",,MAK
527,BGMH,,,HYDH,"['HYDH', 'BLRH', 'BGMH']",,MAK
528,BBIH,,,HYDH,"['HYDH', 'NAGH', 'BBIH']",,MAK
529,VPIH,,,HYDH,"['HYDH', 'BOMH', 'VPIH']",,MAK
530,SNRH,,,HYDH,"['HYDH', 'PNQH', 'SNRH']",,MAK
531,AGRB,,,HYDH,"['HYDH', 'KNPH', 'AGRB']",,MAK
532,KNPH,,,HYDH,"['HYDH', 'KNPH']",,MAK
533,AMDH,,,HYDH,"['HYDH', 'AMDH']",,MAK
534,VZAH,,,HYDH,"['HYDH', 'VZAH']",,MAK
535,BLRH,,,HYDH,"['HYDH', 'BLRH']",,MAK
536,BOMH,,,HYDH,"['HYDH', 'BOMH']",,MAK
537,IDRH,,,HYDH,"['HYDH', 'IDRH']",,MAK
538,MAAH,,,HYDH,"['HYDH', 'MAAH']",,MAK
539,NAGH,,,HYDH,"['HYDH', 'NAGH']",,MAK
540,DELH,,,HYDH,"['HYDH', 'DELH']",,MAK
541,NDAH,,,HYDH,"['HYDH', 'NDAH']",,MAK
542,PNPF,,,HYDH,"['HYDH', 'AMCH', 'AMCH', 'PNPF']",,MAK
543,PNQH,,,HYDH,"['HYDH', 'PNQH']",,MAK
544,SILB,,,HYDH,"['HYDH', 'VZAH', 'CCUH', 'SILB']",,MAK
546,IDRH,,,JAIH,"['JAIH', 'DELH', 'IDRH']",,MAK
548,IDRH,,,DELH,"['DELH', 'IDRH']",,MAK
549,IDRH,,,NDAH,"['NDAH', 'IDRH']",,MAK
550,IDRH,,,PNPF,"['PNPF', 'DELH', 'IDRH']",,MAK
551,IDRH,,,UDRF,"['UDRF', 'JAIH', 'DELH', 'IDRH']",,MAK
552,IXCB,,,IDRH,"['IDRH', 'DELH', 'AMCH', 'AMCH', 'IXCB']",,MAK
553,RDPF,,,IDRH,"['IDRH', 'DELH', 'NDAH', 'RDPF']",,MAK
555,UDRF,,,IDRH,"['IDRH', 'AMDH', 'UDRF']",,MAK
556,IXRB,,,IDRH,"['IDRH', 'NAGH', 'BBIH', 'IXRB']",,MAK
557,BBIH,,,IDRH,"['IDRH', 'NAGH', 'BBIH']",,MAK
558,VZAH,,,IDRH,"['IDRH', 'HYDH', 'VZAH']",,MAK
559,CJBH,,,IDRH,"['IDRH', 'PNQH', 'CJBH']",,MAK
560,CCUH,,,IDRH,"['IDRH', 'BOMH', 'CCUH']",,MAK
561,COKB,,,IDRH,"['IDRH', 'PNQH', 'CJBH', 'COKB']",,MAK
563,SXVF,,,IDRH,"['IDRH', 'PNQH', 'SXVF']",,MAK
564,BGMH,,,IDRH,"['IDRH', 'PNQH', 'BGMH']",,MAK
565,VPIH,,,IDRH,"['IDRH', 'VPIH']",,MAK
566,PATH,,,IDRH,"['IDRH', 'DELH', 'PATH']",,MAK
568,AMDH,,,IDRH,"['IDRH', 'AMDH']",,MAK
569,BLRH,,,IDRH,"['IDRH', 'BLRH']",,MAK
570,BOMH,,,IDRH,"['IDRH', 'BOMH']",,MAK
571,KNPH,,,IDRH,"['IDRH', 'KNPH']",,MAK
572,HYDH,,,IDRH,"['IDRH', 'HYDH']",,MAK
574,JAIH,,,IDRH,"['IDRH', 'JAIH']",,MAK
575,MAAH,,,IDRH,"['IDRH', 'HYDH', 'MAAH']",,MAK
576,NAGH,,,IDRH,"['IDRH', 'NAGH']",,MAK
577,AMCH,,,IDRH,"['IDRH', 'DELH', 'AMCH']",,MAK
578,AMCH,,,IDRH,"['IDRH', 'DELH', 'AMCH', 'AMCH']",,MAK
579,DELH,,,IDRH,"['IDRH', 'DELH']",,MAK
580,PNQH,,,IDRH,"['IDRH', 'PNQH']",,MAK
581,SNRH,,,IDRH,"['IDRH', 'SNRH']",,MAK
582,NDAH,,,IDRH,"['IDRH', 'DELH', 'NDAH']",,MAK
583,SILB,,,IDRH,"['IDRH', 'DELH', 'SILB']",,MAK
585,VZAH,,,AMCH,"['AMCH', 'HYDH', 'VZAH']",,MAK
587,BBIH,,,AMCH,"['AMCH', 'DELH', 'IXRB', 'BBIH']",,MAK
591,CJBH,,,AMCH,"['AMCH', 'BLRH', 'CJBH']",,MAK
593,COKB,,,AMCH,"['AMCH', 'AGRB', 'MAAH', 'MAAH', 'COKB']",,MAK
594,RDPF,,,AMCH,"['AMCH', 'KNPH', 'RDPF']",,MAK
596,HYDH,,,AMCH,"['AMCH', 'HYDH']",,MAK
597,SXVF,,,AMCH,"['AMCH', 'BLRH', 'SXVF']",,MAK
599,IXRB,,,AMCH,"['AMCH', 'DELH', 'IXRB']",,MAK
600,MAAH,,,AMCH,"['AMCH', 'MAAH']",,MAK
